split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_border_count,param_depth,param_iterations,param_random_strength,param_reg_lambda,params
0.4837820498916972,0.4767458431390009,0.4797327154062544,0.4800868694789842,0.0028834146651838003,3,323.7879749933879,2.868804897605979,0.5643654664357504,0.02555534383118248,1.9091131576909443e-05,186,12,1189,0.21388763318557716,4.14119218366906,"OrderedDict([('bagging_temperature', 1.9091131576909443e-05), ('border_count', 186), ('depth', 12), ('iterations', 1189), ('random_strength', 0.21388763318557716), ('reg_lambda', 4.14119218366906)])"
0.46112101539708794,0.4491220625455498,0.4537937328086125,0.45467893691708344,0.004938380781767715,8,43.72731192906698,0.2872124549819617,0.3856496810913086,0.06821081800633268,6.41875322570087e-06,189,8,1389,0.081713029347064,1.2683469156203226,"OrderedDict([('bagging_temperature', 6.41875322570087e-06), ('border_count', 189), ('depth', 8), ('iterations', 1389), ('random_strength', 0.081713029347064), ('reg_lambda', 1.2683469156203226)])"
0.3997487099671905,0.3953927244716791,0.40091470749211033,0.39868538064366,0.002376422529376535,14,21.06326953570048,0.21045376415230954,0.45467130343119305,0.01387109491753229,2.658712314824476e-07,162,6,1400,0.2365892375123591,7.719874467563262,"OrderedDict([('bagging_temperature', 2.658712314824476e-07), ('border_count', 162), ('depth', 6), ('iterations', 1400), ('random_strength', 0.2365892375123591), ('reg_lambda', 7.719874467563262)])"
0.4395557519070631,0.423293970732536,0.43426204563701054,0.4323705894255366,0.006772226945005786,12,52.25592549641927,0.1382241124616,0.47753747304280597,0.018058727064551115,2.1279428773818628e-08,251,9,1003,0.8663166234768674,7.092507954229154,"OrderedDict([('bagging_temperature', 2.1279428773818628e-08), ('border_count', 251), ('depth', 9), ('iterations', 1003), ('random_strength', 0.8663166234768674), ('reg_lambda', 7.092507954229154)])"
0.4410975925607783,0.42729073158965275,0.4328374372163536,0.43374192045559484,0.00567279589600218,11,42.4938071568807,0.4785316794521053,0.45197399457295734,0.024503194774350062,9.756157711697235e-07,180,8,1344,0.05225872663617859,5.320389273277898,"OrderedDict([('bagging_temperature', 9.756157711697235e-07), ('border_count', 180), ('depth', 8), ('iterations', 1344), ('random_strength', 0.05225872663617859), ('reg_lambda', 5.320389273277898)])"
0.41695507380311564,0.4041301194243414,0.4176989833835124,0.41292805887032313,0.0062284912157666095,13,25.21305203437805,0.16004623998128983,0.4475044409434001,0.029122163296997454,1.6896504063261053e-06,45,7,1337,0.1410462593720136,9.55531684375289,"OrderedDict([('bagging_temperature', 1.6896504063261053e-06), ('border_count', 45), ('depth', 7), ('iterations', 1337), ('random_strength', 0.1410462593720136), ('reg_lambda', 9.55531684375289)])"
0.4430302596090439,0.42686599951974735,0.43300358897123054,0.43429994936667393,0.006662393902332804,10,25.160789251327515,0.10695746311742924,0.40410621960957843,0.0869574926897461,0.014143351804933353,19,7,1353,0.012535330681807469,0.601441578575343,"OrderedDict([('bagging_temperature', 0.014143351804933353), ('border_count', 19), ('depth', 7), ('iterations', 1353), ('random_strength', 0.012535330681807469), ('reg_lambda', 0.601441578575343)])"
0.4741430275228881,0.4618699607606324,0.47525323501654854,0.4704220744333564,0.006064218903983089,5,139.26540732383728,0.7482819510353066,0.40803027153015137,0.03792438786545881,0.000712541209180104,47,11,1014,0.002172997251320526,4.6179334253884035,"OrderedDict([('bagging_temperature', 0.000712541209180104), ('border_count', 47), ('depth', 11), ('iterations', 1014), ('random_strength', 0.002172997251320526), ('reg_lambda', 4.6179334253884035)])"
0.45188697336132794,0.43599739675601284,0.4496464104376291,0.4458435935183233,0.00702214229255636,9,35.79862459500631,0.08621445478704512,0.4521130720774333,0.0022049851665626877,0.19891473566417214,195,8,1164,0.0037484097184380142,1.6517468357127427,"OrderedDict([('bagging_temperature', 0.19891473566417214), ('border_count', 195), ('depth', 8), ('iterations', 1164), ('random_strength', 0.0037484097184380142), ('reg_lambda', 1.6517468357127427)])"
0.5005373597337518,0.48047267717188175,0.4864758222859706,0.48916195306386806,0.008408699681247947,2,175.81508270899454,0.4725105901127536,0.5490649541219076,0.018137683646762572,0.0053970267091377295,250,11,1117,0.019831007997802956,1.5141891666370046,"OrderedDict([('bagging_temperature', 0.0053970267091377295), ('border_count', 250), ('depth', 11), ('iterations', 1117), ('random_strength', 0.019831007997802956), ('reg_lambda', 1.5141891666370046)])"
0.27595638624850455,0.2656061525974468,0.26605187847609474,0.2692048057740153,0.004777554958159514,19,372.69351347287494,1.8221291118221552,0.6360375881195068,0.05062225637435303,1.0,1,12,1600,0.001,1e-05,"OrderedDict([('bagging_temperature', 1.0), ('border_count', 1), ('depth', 12), ('iterations', 1600), ('random_strength', 0.001), ('reg_lambda', 1e-05)])"
0.15081711645609075,0.43513504188394225,0.24711973448592597,0.2776906309419863,0.1180680748904199,18,286.27291504542035,1.9824164529846158,0.5300343036651611,0.014724910506510768,1e-08,255,12,1000,3.0,1e-05,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 255), ('depth', 12), ('iterations', 1000), ('random_strength', 3.0), ('reg_lambda', 1e-05)])"
0.27595638624850455,0.2656061525974468,0.26605187847609474,0.2692048057740153,0.004777554958159514,19,372.97832981745404,1.5696224994260786,0.6560913721720377,0.015477994827820061,1.0,1,12,1600,0.001,1e-05,"OrderedDict([('bagging_temperature', 1.0), ('border_count', 1), ('depth', 12), ('iterations', 1600), ('random_strength', 0.001), ('reg_lambda', 1e-05)])"
0.47180189373730713,0.4547044293145021,0.46152135683375556,0.4626758932951882,0.007027590305496093,6,390.03984506924945,0.3675536084698012,0.5511953830718994,0.07314870068496232,0.09547283178147277,18,12,1571,0.0866632124438414,10.0,"OrderedDict([('bagging_temperature', 0.09547283178147277), ('border_count', 18), ('depth', 12), ('iterations', 1571), ('random_strength', 0.0866632124438414), ('reg_lambda', 10.0)])"
0.29566022203760867,0.45139665572128773,0.28205245489727887,0.3430364442187251,0.07682336627743949,16,251.94559144973755,0.5328721800216015,0.5410242080688477,0.06038698407888679,1e-08,255,11,1600,3.0,1e-05,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 255), ('depth', 11), ('iterations', 1600), ('random_strength', 3.0), ('reg_lambda', 1e-05)])"
0.35722620843414804,0.34086722655421786,0.35519175654003937,0.35109506384280176,0.007279708800433846,15,344.2032667795817,1.2356739725299994,0.6083252429962158,0.020050993165086954,1e-08,1,12,1600,3.0,1.5615815243863038,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 1), ('depth', 12), ('iterations', 1600), ('random_strength', 3.0), ('reg_lambda', 1.5615815243863038)])"
0.4849299584393116,0.4689321466385845,0.4720550727655746,0.4753057259478236,0.006923754048506705,4,466.9956157207489,3.958298302650317,0.5851991971333822,0.004658779859465375,1e-08,255,12,1600,0.001,10.0,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 255), ('depth', 12), ('iterations', 1600), ('random_strength', 0.001), ('reg_lambda', 10.0)])"
0.46201457898276604,0.44878757187597446,0.45584804471479246,0.4555500651911777,0.005404012280898276,7,270.1496905485789,0.7442824524706524,0.4854861895243327,0.07713325214698234,0.02274195574144275,152,12,1000,0.36889697944740973,10.0,"OrderedDict([('bagging_temperature', 0.02274195574144275), ('border_count', 152), ('depth', 12), ('iterations', 1000), ('random_strength', 0.36889697944740973), ('reg_lambda', 10.0)])"
0.5002185847958162,0.47291344237610117,0.4953834480681921,0.4895051584133697,0.011897014123712525,1,303.938111782074,11.831170374921124,0.6792651812235514,0.185973359814319,1e-08,255,12,1000,0.001,0.9637201785301054,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 255), ('depth', 12), ('iterations', 1000), ('random_strength', 0.001), ('reg_lambda', 0.9637201785301054)])"
0.34972826788166156,0.32008281971839186,0.344884417830493,0.3382318351435155,0.012984754945847906,17,130.8635930220286,1.4434713659866647,0.6148991584777832,0.03660053220300049,1e-08,1,11,1000,0.001,1e-05,"OrderedDict([('bagging_temperature', 1e-08), ('border_count', 1), ('depth', 11), ('iterations', 1000), ('random_strength', 0.001), ('reg_lambda', 1e-05)])"
